"Provinsi","Jumlah.Kasus.Penyakit...Malaria..Suspek.","Jumlah.Kasus.Penyakit...TB.Paru","Jumlah.Kasus.Penyakit...Pneumonia","Jumlah.Kasus.Penyakit...Diare","Jumlah.Kasus.Penyakit...Demam.Berdarah.Dengue..DBD.","Region","Total_Kasus","Kategori_TotalKasus"
"Aceh",29719,3321,2615,76753,1533,"Sumatera",113941,"Sedang"
"Sumatera Utara",21974,14908,5026,128226,5623,"Sumatera",175757,"Tinggi"
"Sumatera Barat",3471,4802,10341,122440,2203,"Sumatera",143257,"Sedang"
"Riau",2770,5705,5782,81092,918,"Sumatera",96267,"Sedang"
"Jambi",12345,5947,4080,73063,720,"Sumatera",96155,"Sedang"
"Sumatera Selatan",7234,1609,12097,166002,2404,"Sumatera",189346,"Tinggi"
"Bengkulu",13307,2758,876,21313,1419,"Sumatera",39673,"Rendah"
"Lampung",12947,1233,8088,134215,2872,"Sumatera",159355,"Tinggi"
"Kepulauan Bangka Belitung",5345,7325,5135,19572,760,"Sumatera",38137,"Rendah"
"Kepulauan Riau",2153,945,1429,25107,1204,"Sumatera",30838,"Rendah"
"DKI Jakarta",60,24545,42305,305841,2965,"Jawa",375716,"Tinggi"
"Jawa Barat",14004,8650,124475,393434,8732,"Jawa",549295,"Tinggi"
"Jawa Tengah",21758,13649,52032,583700,3133,"Jawa",674272,"Tinggi"
"DI Yogyakarta",2876,36075,6021,68043,547,"Jawa",113562,"Sedang"
"Jawa Timur",15578,20535,92913,819729,8449,"Jawa",957204,"Tinggi"
"Banten",84,1444,33775,248242,1023,"Jawa",284568,"Tinggi"
"Bali",918,2790,4777,68142,904,"Bali-Nusa Tenggara",77531,"Sedang"
"Nusa Tenggara Barat",49100,630,20229,141522,535,"Bali-Nusa Tenggara",212016,"Tinggi"
"Nusa Tenggara Timur",331482,4420,2990,52621,1333,"Bali-Nusa Tenggara",392846,"Tinggi"
"Kalimantan Barat",26496,1394,1835,64772,3097,"Kalimantan",97594,"Sedang"
"Kalimantan Tengah",13859,3087,602,39124,2245,"Kalimantan",58917,"Rendah"
"Kalimantan Selatan",19573,8165,11159,68189,2001,"Kalimantan",109087,"Sedang"
"Kalimantan Timur",8678,4298,5772,71780,3204,"Kalimantan",93732,"Sedang"
"Kalimantan Utara",4063,1436,340,8275,172,"Kalimantan",14286,"Rendah"
"Sulawesi Utara",15640,2934,409,20982,1608,"Sulawesi",41573,"Rendah"
"Sulawesi Tengah",19007,3578,7751,58876,1067,"Sulawesi",90279,"Sedang"
"Sulawesi Selatan",13751,1693,5140,168581,2114,"Sulawesi",191279,"Tinggi"
"Sulawesi Tenggara",13306,3902,3374,31394,624,"Sulawesi",52600,"Rendah"
"Gorontalo",4197,1784,2385,20887,813,"Sulawesi",30066,"Rendah"
"Sulawesi Barat",23018,3340,1450,36704,532,"Sulawesi",65044,"Rendah"
"Maluku",66853,1931,955,4097,317,"Maluku",74153,"Rendah"
"Maluku Utara",18329,1143,1130,13763,110,"Maluku",34475,"Rendah"
"Papua Barat",92410,747,411,9956,228,"Papua",103752,"Sedang"
"Papua",432331,3671,379,19352,193,"Papua",455926,"Tinggi"
